iter	Passed	Remaining
406	5588	24260
407	5600	24241
408	5613	24223
409	5624	24200
410	5637	24181
411	5651	24168
412	5664	24154
413	5677	24135
414	5689	24116
415	5702	24096
416	5715	24081
417	5728	24065
418	5742	24051
419	5753	24029
420	5766	24011
421	5779	23993
422	5792	23979
423	5806	23965
424	5819	23949
425	5832	23931
426	5846	23919
427	5858	23901
428	5871	23883
429	5884	23864
430	5896	23847
431	5909	23829
432	5923	23816
433	5936	23798
434	5948	23780
435	5962	23768
436	5975	23752
437	5989	23738
438	6001	23719
439	6014	23703
440	6028	23688
441	6042	23676
442	6055	23662
443	6068	23646
444	6081	23628
445	6093	23610
446	6106	23591
447	6117	23569
448	6129	23547
449	6142	23531
450	6155	23515
451	6166	23493
452	6177	23470
453	6190	23451
454	6201	23429
455	6212	23407
456	6225	23388
457	6237	23368
458	6249	23348
459	6260	23328
460	6273	23311
461	6286	23294
462	6298	23274
463	6311	23259
464	6324	23245
465	6338	23230
466	6350	23213
467	6363	23195
468	6375	23179
469	6388	23161
470	6400	23144
471	6412	23124
472	6424	23105
473	6437	23089
474	6450	23071
475	6462	23052
476	6474	23034
477	6486	23015
478	6499	22999
479	6511	22980
480	6524	22963
481	6537	22949
482	6550	22932
483	6561	22909
484	6574	22896
485	6588	22883
486	6601	22869
487	6615	22856
488	6628	22840
489	6641	22823
490	6656	22815
491	6669	22801
492	6680	22780
493	6692	22760
494	6704	22742
495	6717	22724
496	6729	22707
497	6742	22691
498	6753	22671
499	6766	22654
500	6778	22633
501	6789	22613
502	6802	22597
503	6814	22580
504	6826	22562
505	6838	22541
506	6850	22524
507	6863	22507
508	6875	22491
509	6886	22469
510	6898	22450
511	6910	22432
512	6921	22409
513	6933	22392
514	6945	22373
515	6956	22353
516	6969	22336
517	6981	22319
518	6993	22302
519	7005	22281
520	7016	22262
521	7028	22244
522	7042	22232
523	7060	22231
524	7079	22235
525	7094	22228
526	7107	22213
527	7121	22200
528	7135	22188
529	7150	22179
530	7164	22169
531	7179	22158
532	7193	22146
533	7206	22133
534	7221	22123
535	7235	22111
536	7268	22155
537	7285	22154
538	7303	22155
539	7320	22150
540	7336	22145
541	7350	22131
542	7365	22122
543	7382	22119
544	7397	22111
545	7415	22111
546	7432	22106
547	7449	22105
548	7472	22118
549	7488	22110
550	7504	22106
551	7523	22108
552	7541	22106
553	7559	22104
554	7575	22098
555	7591	22091
556	7606	22082
557	7624	22080
558	7639	22070
559	7654	22060
560	7671	22056
561	7692	22065
562	7715	22078
563	7734	22080
564	7753	22081
565	7773	22084
566	7793	22089
567	7815	22099
568	7838	22111
569	7860	22119
570	7883	22132
571	7908	22150
572	7937	22177
573	7955	22175
574	7975	22179
575	7998	22188
576	8027	22218
577	8064	22267
578	8108	22337
579	8169	22451
580	8193	22465
581	8213	22467
582	8233	22467
583	8254	22474
584	8278	22487
585	8299	22491
586	8319	22492
587	8338	22492
588	8355	22483
589	8374	22483
590	8394	22483
591	8411	22477
592	8426	22466
593	8442	22455
594	8458	22447
595	8474	22438
596	8488	22422
597	8504	22412
598	8520	22403
599	8534	22388
600	8548	22375
601	8563	22363
602	8579	22352
603	8594	22338
604	8608	22325
605	8622	22310
606	8637	22299
607	8652	22285
608	8666	22272
609	8681	22258
610	8697	22248
611	8713	22238
612	8727	22225
613	8743	22213
614	8759	22205
615	8777	22199
616	8794	22192
617	8810	22183
618	8826	22173
619	8843	22164
620	8860	22157
621	8876	22148
622	8897	22151
623	8915	22144
624	8932	22139
625	8952	22138
626	8970	22133
627	8993	22140
628	9015	22143
629	9036	22145
630	9051	22134
631	9069	22129
632	9086	22120
633	9100	22105
634	9113	22088
635	9134	22088
636	9149	22076
637	9165	22067
638	9182	22057
639	9196	22043
640	9225	22064
641	9240	22051
642	9257	22043
643	9271	22028
644	9285	22011
645	9298	21994
646	9311	21976
647	9330	21973
648	9344	21957
649	9357	21940
650	9371	21923
651	9383	21905
652	9397	21888
653	9409	21868
654	9421	21849
655	9434	21832
656	9446	21811
657	9459	21793
658	9473	21778
659	9486	21760
660	9499	21743
661	9511	21724
662	9527	21712
663	9540	21696
664	9555	21682
665	9567	21663
666	9580	21645
667	9592	21626
668	9606	21610
669	9619	21592
670	9631	21574
671	9644	21557
672	9658	21542
673	9671	21523
674	9684	21505
675	9697	21489
676	9710	21472
677	9722	21452
678	9734	21432
679	9747	21416
680	9761	21401
681	9774	21383
682	9787	21366
683	9800	21348
684	9812	21329
685	9824	21311
686	9838	21295
687	9851	21277
688	9863	21259
689	9876	21241
690	9888	21222
691	9902	21206
692	9917	21193
693	9930	21176
694	9943	21161
695	9956	21143
696	9968	21124
697	9982	21108
698	9997	21095
699	10010	21079
700	10024	21064
701	10037	21047
702	10050	21030
703	10063	21013
704	10076	20996
705	10089	20979
706	10101	20959
707	10115	20944
708	10126	20925
709	10139	20906
710	10152	20890
711	10165	20873
712	10179	20857
713	10192	20841
714	10205	20824
715	10218	20807
716	10233	20795
717	10245	20777
718	10258	20759
719	10271	20743
720	10284	20725
721	10296	20707
722	10310	20691
723	10322	20673
